ID|google_asr_before_sep|amazon_asr_before_sep|ground_truth|google_asr_after_sep|amazon_asr_after_sep
mix6_original_1|the vehicle a comfortable and is very blurry and that was hard but that was in the hottest part hardest part was not able|very uncomfortable and it's very blurry and that was hard but that wasn't the hardest part, the hardest part was not able to.|very conf uncomfortable and is very blurry and that was hot but that wasn't the hottest part hottest part was not able to|very comfortable and it's very blurry that was hard but that wasn't a hotspot hardest part was not able to|very comfortable and it's very blurry. That was hot, but that wasn't the hottest spot. Hottest part was not able to
mix6_original_2|honor these type of men that do this every day they put themselves In Harm's Way that's what this movie|These type of men that do this every day, they put themselves in harm's way, that's what this movie is.|this type of men that do this every day that put themselves in harms ah way that's what this movie|honor these type of men that do this every day they put themselves In Harm's Way that's what this movie|these type of men that do this every day. They put themselves in harm's way. Um That's what this movie is.
mix7_original_1|incredibly generous I think it was always hard for him because|Incredibly generous, I think it was always hard for him because.|incredibly generous i think it was always hard for him because|I'm trying to be generous I think it was always hard for him because|I'm probably generous. I think it was always hard for him because.
mix7_original_2|dude age and I were living in Richmond at the time and I had|Did a and I were living in Richmond at the time and I had.|did uh aiden and i were were living in richmond at the time and i had to um|and I were living in Richmond that was timing I had|Kind of um and I were living in Richmond at this time. And I had um
mix8_original_1|I know but I am I learned from my mistakes and now I'm going to write and direct and|I know but I I learn from my mistakes and now I'm going to write and direct and stuff.|no but i've i have made i learn from my mistakes and now i'm going to write and direct and|I know but I'm a I'm a manager now I'm going to ride with Riley I'd react|I know, but I I now I'm going to write direct.
mix8_original_2|they weren't it wasn't so much the script it was the idea writers were really idea|They weren't it wasn't so much the script, it was the idea our writers were really idea man.|there weren't it wasn't so much the script it was the idea ah writers were really idea men|because they were so much this case it was the idea to editors were really idea|There wasn't there wasn't much it was the idea, editors were really idea.
mix9_original_1|my sweet love to you what I wouldn't give for just one night with you nothing too weird just a nice knot with|Gloss Sweet Love to You What I wouldn't give for just one night with you. Nothing too weird. Just a nice night with.|gloss sweet love to you what i wouldn't give for just one night with you nothing too weird just a nice night with a|but we love to yeah what I wouldn't give for just one night with you not to do weird Justin I said weird|but we'd love to you. What I wouldn't give. But Just want not with you. Not to do Weird. Just the nas not weird.
mix9_original_2|anybody thought it was going to do it it's done but actors are always kind of naive to that and they always think that everything they do is going to last|Anybody thought it was going to do what it's done, but actors are always kind of naive to that and they always think that everything they do is gonna last.|anybody thought what's gonna do is done but uh actors are always kind of naive to that and they always think everything they do is gonna last|everybody thought it was going to do what it's done but actors are always kind of naive to that they always think that everything we do is going to last|anybody thought it was gonna do what it's done. But um actors are always kinda naive to that and they always think that everything they do is gonna lap
mix10_original_1|definitely not challenges I mean when I realized that my|definitely not challenges, I mean when I realized that my daughter.|definitely not challenges i mean when i realized uh that my daught|we not challenges I mean when I realize that my|We're not challenges. I mean, when I realize my daughter.
mix10_original_2|I think about having Jason and Rebecca is those conversations about how those characters|Thing about having Jason and Rebecca is those conversations about how those characters.|i think about having jason and rebecca as those conversations about how those charact|thing about having Jason and refectory those conversations about how those characters|I think about having Jason and Rebecca those conversations about how those cabs.
mix11_original_1|the character so much and respect with James Morrison did with the role and so I think you know all of us have this in common we look up to the people who play|The character so much in respect what James Morrison did with the role. And so I think, you know, all of us have this in common. We we look up to the people who played.|so the character so much in respect with james marsden with the role and so i think bo you know all of this have this in common we we've look at the people who play|cared for so much more respect with James Morrison's it with the role and so I think both of you know all of us have this in common we judge we look up to the people who play|character so much in respect with James Morrison did with the role. And so I think both, you know, all of us have this in common. We, we look up to the people who played
mix11_original_2|placated number that very very clearly after because I remember thinking you'd have to give all your energy to SeaWorld but yeah there's a Time|I remember that very, very clearly because I remember thinking you have to give all your energy to see wall um But yeah, there's a.|i remember that very very clearly actually because i remember thinking youd have to give all your energy to [unintelligible] but yeah |so remember that very very clearly has to be true I remember think he'd have to give all your energy to table and but yeah there's no telling the truth|I remember that very, very clearly because I remember thinking you have to give all your energy to sea world. Um But yeah,
mix12_original_1|I haven't totally personally but I'm definitely I think more aware|I haven't totally personally, but I'm definitely I think more aware.|i haven't totally personally but i am definitively more aware|I haven't totally personally but I'm definitely Ethel more aware|Okay, I haven't totally personally, but I'm definitely more aware.
mix12_original_2|mikkel roskam was attached to it too and I always loved|For Michael Roskam was attached to it too, and I always loved it.|[unintelligible] touch to it too and i always love it|Amica I haven't asked a question to things and I always loved|for Michael, ross cameras, then. I always love it.
mix13_original_1|they put together a big stunt real one year after maybe season three of Star Trek and what the|They put together a big stunt reel when you're after maybe season three of Star Trek and What this?|they put together a a big stone real one year a a after maybe season three of of star trek and what the|they put together a big stunt real one year after maybe season three of Star Trek and what the|They put together a big stunt real one year uh after maybe season three of, of star trek. And what this
mix13_original_2|even though everybody was welcoming it's scary to come on to a show that's so established in there's a family there's like a routine and a system going to kind of come in|Even though everybody was welcoming, it's scary to come onto a show that's so established and there's a family and there's like a routine and a system going to kinda come in.|even though everybody was welcoming its scary to come onto a show thats so established and as a family knows like a routine and a system going to kind of come in|you know everybody's welcoming very moment to show them to come in|even though everybody's welcome experience, how much is showing up established in the family. There's like a routine and it's going to kind of come in.
mix14_original_1|favorite artist of mine that I would rather see them in a place like Town Hall then at like Madison Square Garden for instance so it's kind of for me a really big little|A favorite artist of mine that I would rather see them in a place like town hall than at like Madison Square Garden, for instance, so it's kind of, for me, a really big little.|ah favorite artist of mine i would rather seen them in a place like town hall than a like madison square garden for instance so it's kind of for me a really big little|your favorite artist is mine and I would rather see them in a place like town hall and then at like Madison Square Garden so it's kind of for me a really big little old|favorite artist of mine that I would rather see them in a place like Town Hall Square Garden. So it's kind of, for me a really big little
mix14_original_2|you're like all man we're just going to roll over these people they don't have because it really is you figure out how to play this game as far as getting artists to come over to your team|You're like, oh man, we're just gonna roll over these people. They don't have, you know, because it really is you figure out how to play this game as far as getting artists to come over to your team.|you're like, oh man, we're really just going to roll over these people, they don't have, they don't, cause it really is, you figure out how to play this game as far as getting artists to come over to your team|you're like almost going to roll over these people they don't have because it really is you figure out how to play this game as far as getting artists to come over to your team|you're like, oh, man, we're just gonna roll over these people they don't have because it really is. You figure out how to play this game. As far as getting artists to come over to your team.
mix15_original_1|you see these two serious actors you see these guys that are trying to kill each other you know every every night we go|You see these two serious actors, you see these guys that are trying to kill each other, you know every every night we go out.|you see these two serious actors you see this guys that are trying to kill each other you know every eh every night we go|you see these two serious actors I'm see these guys that are trying to kill each other you know every every night we go|you see these two serious actors and see these guys that are trying to kill each other, you know, every, every night we go out
mix15_original_2|it's pieces of film when so the background of the character has been emitted for whatever|Pieces of film when the background of the character has been admitted for whatever.|these pieces of film when when so the background of the character has been omitted for whatever re|when you go inside the background of the count has been admitted for whatever|And that's when, say the background of the character has been admitted for whatever.
mix16_original_1|confession every day I went to took the Rosary every day so I always was in meditation and talk too much and we had|confession every day I went to I took the rosary every day, so I always was in meditation. I didn't talk too much and we'd have.|confession every day i went to i took the rosary every day so i always was in meditation and talk too much and we'd have|compassion every day I went to the Rosemary everyday I always was on meditation and talk too much|compassion. Every day, I want to the rosary. Every day I always was on meditation and talk to lunch.
mix16_original_2|talks of more Luther esk things whether it's a film whether it's a spin-off of Alice but nothing's set in stone it's a it's a nice rumor to sort of explore but I|Talks of more Luther esque things, whether it's a film, whether it's a spin off of Alice, but nothing's set in stone. It's a it's a nice to sort of explore, but I'm not.|talks of more luther esque things whether it's a film whether its a spin-off [unintelligible] but nothing's set in stone but it's a nice rumor to sort of explore but|talk that's more Luther esk things whether it's film whether it's been off balance but nothing's set in stone it's a it's a nice rumor to sort of explore but I'm not|talk this more looser things. Whether it's a film, whether it's a spin off, but nothing set in stone. It's a nice rumor to sort of explore, but I'm not
mix17_original_1|in a different way does the same thing for a moment you know they both teach each other to choose life to choose hope and to accept that even though happy|In a different way does the same thing from Mohammed, you know, they both teach each other to choose life to choose hope and to accept that even though happiness.|a different way does the same thing for mohammed you know they both teach each other to choose life to choose hope and to accept that even no happy|in a different way does the same things on the Hop they both teach each other to choose life to choose cold and to accept that even though happy|in a different way. Does the same thing from. You know, they both teach each other to choose life, to choose cold and to accept that even though happens
mix17_original_2|and my magic eyes hi I'm Alex Maria represent Jim Jefferies him and Warren hit it off at a party and Warren said to stay in touch so we're staying|And then my manager goes, hi, I'm Alex Murray, I represent Jim jefferies. Him and Warren hit it off at a party and Warren said to stay in touch, so we're staying in.|and then my manager goes hi i'm alex murray i represent uh jim jeffreys him and uh warren hit it off at a party and warren said to stay in touch so we're staying in|Mischief my magic hi I'm Alex Maria represent Jim Jefferies him and Warren hit it off at a party and Warren said to stay in touch so which thank|And this is my manager. Alright. I'm Alex Mary, I represent uh Jim Jefferies, him and uh warrant get it off at a party. And Warren's said to stay in touch. So when steak.
mix18_original_1|maybe so everybody is I think and that's what's so cool about Shark Night 3D is that we it takes place in a saltwater lake|Everybody is, I think, and that's what's so cool about shark night 3D is that we we it takes place in a saltwater lake, which.|everybody is i think and that's what's so cool about shark night 3d is that we we we it takes place in a salt water lake which|waiting for everybody is I think and that's what's so cool about shark nice reviews that we it's just like in a saltwater lake|everybody is, I think. And that's what's so cool about shark? Is that we just like in a saltwater lakes, uh, which
mix18_original_2|to the room that is just ran by so I suggested that to Jim and he said his eyes let me see|Into the room then he just ran by, so I suggested that to Jim and his eyes, he said.|to the room that he just ran by so i suggested that to jimmy and he his eyes lit up |your room did he just ran by so I meet me suggested that the gym and he said his eyes lit up with|to the room and he just ran by. So I meet me suggested at the gym. And his eyes.
mix19_original_1|it's very cheap and get it on the in the supermarket and I use an expensive|It's very cheap, you can get it in the supermarket and I use an expensive.|is very cheap you can get it on the in the supermarket and are you using expensive|it's very cheap and get it on the in the supermarket and I using words pensive|it's very cheap. You can get it in the supermarket. And I use more expensive
mix19_original_2|because you don't keep the height of that intensity but as you walk toward the|Because you don't keep the height of that intensity, but as you walk towards the job.|you dont't keep that high of that intensity but as you walk towards the jo|because you don't keep that height of that intensity but as you walked off the job|because you don't keep the height of that intensity, but as you walk, just
mix20_original_1|hold it told it on the Dinah Shore show and he told her to many times that we were together but I guess he was down to his last 10|Hold it, he told it on the Dinah shore show and he told it many times that we were together. But I guess he was down to his last $10.|told it told it on the dinah shore show and he told it many times that we were uh together but i guess he was down to his last ten dollars|told them to go get on the Dinah Shore show so the many times that work together but I guess you down to his last ten dollars|Hold it. Hold it on. The Dinosaur show filled it many times that we were together. But I guess he's down to his last $10.
mix20_original_2|it takes place in Alberta a Newfoundland I mean but this could relate to Okotoks it could relate to Orangeville|It takes place in Alberta Newfoundland, I mean, but this could relate to Okay talks, it could relate to Orangeville.|it takes place in alberta newfoundland i mean but this could relate to okotoks it could relate to orangeville|it takes place on upward a Newfoundland I mean what this cap relates to Opus hopes that could relate to warns bill|it takes place in a new land. I mean, but this could relate to office hopes. That could relate to Orangeville.
mix21_original_1|yeah I don't get into that so much I you know I think I admire Microsoft for their achievements and I think though that the net Maybe|Yeah, I don't get into that so much. I think I admire Microsoft for their achievements and I think though that the Net maybe something.|yeah i i don't get into that so much i i you know i admire microsoft for their achievements and i think though that the net may be some|we have an engine is envelope and send it into that so much and I think I might go after their achieved auditions and I think I'm though that the mirror maybe something and|we can send you into that so much auditions. And I think though that may be something
mix21_original_2|I have an agent who finds me up and sends a scripts through to my door and then I go into the auditions and chat to people and play scenes and|I have an agent who phones me up and sends scripts through to my door and then I go into the auditions and chat to people and play scenes and.|i have an agent who friends me up and sends the scripts through uh to my door and then i go into the auditions and um chat to people and play scenes and um|I found a job I tried open sender encrypts through to the microphone and then I go|through to. I think maybe something like that.
mix22_original_1|and I think Garth would do anything for her and really wants to protect her|And I think Garth would do anything for her and really wants to protect her.|and uh i think garth would do anything for her and really wants to protect her uh|and think Arthur would do anything for her and really want to protect her|And I think cars would do anything for her and really wants to protect her. Uh.
mix22_original_2|or sometimes suffer from this terrible thing of indecision where I can see both|Or I sometimes suffer from this terrible thing of indecision where I can see both.|oh i i sometimes suffer from this terrible thing of indecision when i can see both|or sometimes suffer from his Generals in Winter to you and where I can see both|Or I sometimes suffer from this general thing of indecision where I can see both.
mix23_original_1|eighteen of the 17 just going into 18 of the|18 of the 17 just going into 18 of the second.|oh eighteen of the seventeen just going into eighteen of the ah sec|18 of the 17 wisdom in the 18 of the tickets|uh 18 of the 17th and the 18th of the um second
mix23_original_2|and I have a friend named Mike O'Brien who has bad tattoos on purpose so he|And I have a friend named Mike O'brien who has bad tattoos on purpose, so he has.|i have a friend named mike o'brien who has bad tattoos on purpose so we had|I have a friend named Mike O'Brien who has bad tattoos on purpose so we had|I have a friend named Michael brian who has bad tattoos on purpose. So we had
mix24_original_1|home is where the heart is my family everyone is there but difference between India and|Yeah, home is where the heart is my family, everyone is there, but defense between India and.|yeah home is where the heart is my family everyone is there but defense between india and|yeah the only with Arthur's my family what's there but development in India|Yeah. The one with, with the artist, my family. What's there? But between Indian.
mix24_original_2|I said I said congratulations on that Jennifer Aniston thing and he got all squirrelly on me|I said, I said congratulations on that jennifer Aniston thing and he got all squirrely on me.|i said i said congratulations on that jennifer aniston thing and he got all squirrely on me|I said that I said congratulations on that Jennifer Aniston thing and you get all squirrelly on me|I said, I said congratulations on that jennifer Aniston thing. And he got all squirrelly on me.
mix25_original_1|and it's not and is not a strong look but I just kind of think I've gotta just try and jump into the deep end because in a way that I'm locked into it|And it's not and it's not a strong look, but I just kind of think I've got to just try and jump into the deep end because in a way that I'm locked into it.|and it's not and it's not a strong look but i just kind of think i've got to just try and jump into the deep end because in a way that i'm locked into it|hi needs not strongest but I just kind of things|And it's not new york, stronger, but I just kind of things and jump in a way that I looked into it.
mix25_original_2|you know for some people tell you obviously that old adage a that mimicry is the highest form of flattery but it's not you know you're not mimicking anything it's not like|You know, first of all, people will tell you, obviously that old adage that mimicry is the highest form of flattery, but it's not, you know, you're not mimicking anything, it's not like.|first of all people will tell you obviously that old adage that mimicry is the highest form of flattery but it's not you know you're not mimicking anything it's not like|it offers hope people will tell you that is obviously that old adage a that mimicry is the highest form of flattery but jump It's a you know you're not making anything with that like|you know, first of all people will tell you, obviously that that is the highest form of flattery, but it's, you know, you're not mimicking anything. It's not like
mix26_original_1|300 cameras around us to sculpture|With 300 cameras around us to sculpture.|with three hundred cameras around us uh [unintelligible]||
mix26_original_2|and Tim herlihy and Tim Dowling they wrote a character that was|And tim Herlihy and tim dowling they wrote a character that was.|and tim herlihy and tim dowling they wrote a character that was|entomology and some ghoul toys they wrote a character that was|uh, and they wrote a character that was.
mix27_original_1|Jake relationship is almost like threefold because it's like a boy and his dog it's two best friends but then it's also like two brothers|Relationship is almost like three fold because it's like a boy and his dog, Its two best friends, but then it's also like two brothers.|relationship is almost like three fold because it's like a boy and his dog Its two best friends but then it's also like ah two brothers|Jake relationships almost like three folds because it's like a boy and his dog it's two best friends but then it's also like two brothers|jake relationships almost like three colds. Because it's like a boy and his dog. It's two best friends. But then it's also like uh cheap Brothers.
mix27_original_2|it was going to be 625 which is of course is what we're on now and the BBC Two would be engineered to this|It was going to be 6-5, which of course, is what we're on now, And the BBC two would be engineered to this day.|it was going to be six to five which of course is what we're on now and and the bbc two would be engineered to this day|it's going to be 65 which is of course is what we're on now and the zz2 would be engineered to the|It's going to be 6-5. Which, of course is what we're on now. Um, and the engineer to the state
mix28_original_1|I was on an Anthem kick there for a second yeah which is super stressful it's stressful as an American|Was that an anthem kick there for a second which is super stressful, It's stressful as an american?|an anthem kick there for a second yeah which is super stressful it's stressful as an american|Anthem kick there for a second job which is stressful as an American|Kick there for a second. Uh, which is stressful, especially in America.
mix28_original_2|the pool stuff and we rehearsed it over and over and over and over and over again and|Good stuff and we rehearsed it over and over and over and over and over again and.|good stuff and we rehearsed it over and over and over and over and over again and uh|the stuff and we were first it over and over and over and over and over again and|stuff, and we rehearsed it over and over and over and over and over again. And um and
mix29_original_1|to the shooting yes everybody was kind of like oh my God yeah so Cali|The shooting everybody was kind of like, oh my God, so Callie said.|the shooting yes everybody was kind of like oh my God yeah so Callie said|it with shootings yeah everybody was kind of like a oh my God yeah so Callie|I was shooting. Yeah, Everybody was kind of like, oh my God. Yeah. So callous.
mix29_original_2|him that day and I haven't seen him since I had dinner with him last night|Him that day and I haven't seen him since I had dinner with him last night.|that day and i haven't seen him since i had dinner with him last night i|you know said they had been opened|And I haven't seen him since last night.
mix30_original_1|was the original director of The Jazz Singer and he came to see me in They're Playing Our Song on Broadway and came backstage and said that he wanted me to be in this|Was the original director of the jazz singer and he came to see me and they're playing our song on broadway and came backstage and said that he wanted me to be in this.|was the original director of the jazz singer and he came to see me and they're playing our song on broadway and came backstage and said that he wanted me to be in this|the original director for the jazz dance and he came to see me and they're playing Our Song on Broadway and came backstage and said that he wanted me to be in this|the original director from the jazz singer. And he came to see me, and they're playing our song on broadway. And came back stage and said that he wanted me to seeing this.
mix30_original_2|HBO look after your very well they care about their actors and the crew and so they've made it very easy for us|HBO look after you very well, they care about their actors and the crew and so they've made it very easy for us.|hbo look after you very well they care about their actors and the crew and ah so they've made it very easy for us|HBO look after your very well they care about their actors and the crew and so they've made it very easy for us|HBO look after you very well. They care about their actors and the crew. And uh so they've made it very easy for us.
mix31_original_1|I mean I watch the show growing up and I loved it throughout my entire childhood|I mean I watched the show growing up and I loved it throughout my entire child.|i mean i watched the show growing up and i loved it throughout my entire child|I mean I watch the show growing up and I love this throughout my entire childhood|I mean, I watched the show growing up and I loved it throughout my entire time.
mix31_original_2|officially this too much responsibility so I'll say that I'm Aficionado at eating|Food aficionado That's too much responsibility, so I'll say that I'm a aficionado at eating.|aficionado that's too much responsibility so i'll say that i'm a aficionado at eating|officially on it it's too much responsibility so I'll say that I'm Aficionado at eating|food. That's too much responsibility. So I'll say that I'm a fishing auto at eating.
mix32_original_1|the amazing thing about film is that and I've been very lucky I've shot in places and I've done stories and|The amazing thing about film is that, and I've been very lucky, I've shot in places and I've done stories especially.|the amazing thing about film is that and i've been very lucky i've shot in places and i've done ah ah stories and especial|that's the amazing thing about those that and I've been very lucky I've shot in places when I've done stories especially|That's the, the amazing thing about film is that. Uh And I've been very lucky. I've shot in places and I've done uh uh stories especially
mix32_original_2|his daughter works for me and the White House just so there are connect the dots for sure|His daughter works for me in the White House now, so there are connect the dots for sure.|his daughter works for me in the white house now uh so there are connect the dots for sure|his daughter works for me and the White House announced so there are connect the dots for sure|His daughter works for me and the White House. Um, so there are connect the dots for sure.
mix33_original_1|and the reason I like it is because we|And the reason I like it is because we shot.|and the the reason i like it is because we shot|the reason I like it is because we show|And um The reason I like it is because we shot
mix33_original_2|traveling like I like to I like to drink whatever local beer|traveling like I'd like to, you know, I like to drink whatever local beer.|traveling like I like to you know i like to drink whatever local beer |traveling like I'd like to you know I like to drink whatever local beer|traveling like, I'd like to, you know, I like to drink whatever local beer.
mix34_original_1|it seems as if though only one family does most of the traveling they both dreaded equally these families|It seems as if though only one family does most of the traveling, they both dread it equally these families there.|it seems as if though only one family does most of the traveling they both dread it equally these families ah there|it seems as if though only one can lead us most of traveling they both read it equally these families|It seems as if though only one family doesn't travel. They both dread it equally. These families.
mix34_original_2|to really listen to the Rhythm and thing it just like he did and it was a couple of times where I was like well can you play it with him so I can sing it with him so I'm making sure that I'm singing it correctly and he's saying everything with such|To really listen to the rhythm and sing it just like he did. And it was a couple of times I was like, can you play it with him so I can sing it with him, So I'm making sure that I'm singing it correctly and he sang everything with such passion.|really listen to the rhythm and sing it just like he did and it was a couple of times i was like can you play it with him so i can sing it with him so i'm making sure that i'm singing it correctly and he sang everything with such passion|the really listens to rid of thing it just like he did and it was a couple of times I was able can I play with him so I can sync it with him so I'm making sure that I'm saying it correctly it's the same everything with such|to really listen to the rhythm thing. It's just like he did. And it was a couple of times. I was like, well, can you play it with him? So I can sing it with him. So I'm making sure that I'm singing it correctly, if you sing everything with such passion.
mix35_original_1|you know when I was a child watching my father he started a program and beasts|You know when I was a child watching my father, he started a program in in b c.|you know when I was a child watching my father ah he started a program in in in b|you know when I was a child watching my father's he started a program and and BC|So you know when I was a child watching My Father's uh He started a program in in in B. C.
mix35_original_2|really really you know slamming the charts and we were|Really, really, you know, slamming the charts and we were.|really really you know slamming the charts and ah we were|really really you know Slam in the charts and we were|really really, you know, slamming the charts. And uh we were
mix36_original_1|kind of see the little the little mini fit starting and I'm like oh no no I'm not ready for that yeah I will definitely take lots of videos|Kind of see the little, the little mini fit starting and I'm like, oh no, no, I'm not ready for that. Um yeah, I will definitely take lots of videos.|see the little the little mini fit starting and i'm like oh no no i'm not ready for that uh yeah i will i will definitely take lots of videos|little so little mini fit starting and I'm like no no no I'm not ready for that yeah well I will definitely ask her about it|the little, the little mini fit starting and I'm like, oh no, no, I'm not ready for that. Um yeah, I will. I will definitely
mix36_original_2|concerned about you know me getting my degree in my education because one of the things my mom said to me was that you know in this industry people they take|Concerned about, you know, me getting my my my degree and my education, because one of the things my mom said to me was that, you know, in this industry, people they take.|concerned about you know me getting my my my degree and my education because one of the things my mom said to me was that you know in this industry people they take|concerned about you know me getting my degree and my education because one of the things my mom says means that you know any please do straight people they take|concerned about, you know, me getting my, my, my degree in my education. Because one of the things my mom says to me is that, you know, in this industry, people, they take
mix37_original_1|one dog in that school that old losers didn't run off to play with they go play in the park on the dog beds or in the broom closet but it's like those trainers used to always say your dogs|One dog in that school, that old lucious didn't run off to play with. They'd go play in the park, on the dog beds or in the broom closet. But it's like those trainers used to always say your dog spread.|one dog in that school that old luscious didn't run off to play with they'd go play in the park on the dog beds or in the broom closet but it's like those trainers used to always say your dog s|the mask|then that's cool that old didn't run out to play with. There's no blame the bar on the, in the broom closet. But it is always your dog spray.
mix37_original_2|Max Russo or Jesus Foster and I'll have to say I like Max Russo more because one holds a special place|Um, max russo or jesus Foster, and I'll have to say, um, I like max through somewhere because um, one holds a special place.|uh max russo or jesus foster and i'll have to say uh i like max through somewhere because uh one holds a special place|March was so friendly to sponsor and I'll have to say I like maximum somewhere because one holds a special place|um sponsor. And I'll have to say I like mattress somewhere because um wine has told the special place.
mix38_original_1|team is going to whisk me away we've had a very crazy day by the way it was very adventurous|The team is going to whisk me away. We've had a very crazy day, by the way, it was very adventurous.|the team is going to whisk me away we've had a very crazy day by the way it was very adventurous|physically leaving out of anything you'd be my date|it was very.
mix38_original_2|deal rap music is sampling and people who don't understand|Deal um Rap music is sampling and people who don't understand.|deal uh rap music is sampling and people who don't understand|deal rap music is sampling and people who don't understand|deal. Um Rap music is sampling. And people who don't understand.
mix39_original_1|been in Melbourne a lot so I you know I didn't get as much time as I'd like to but I was just in New Zealand and I actually had one of my first days off in a while|Been in Melbourne a lot, so, you know, I didn't get as much time as I'd like to, but um, I was just in New Zealand and I actually had one of my first days off in a while.|been in melbourne a lot so you know i didn't get as much time as i'd like to but uh i was just in new zealand and i actually had one of my first days off in a while|been in my want a lot so I know I didn't get as much time as I'd like to but I was just in New Zealand actually has a my first days off in a while|been in Melbourne a lot. So, you know, I didn't get that kind of, I'd like to. But um I was just in New Zealand, and I actually had my first days off in a while.
mix39_original_2|going to make a film and we do have deadlines and it does have to like all cut together actually be watchable|And we do have deadlines and it does have to cut together actually be watchable.|to make a film and we do have deadlines and it does have to cut together actually be watchable|watchable|Deadlines and all come together. Actually be watchable.
mix40_original_1|which isn't these days a lot of European directors are making movies in English because it is becoming International|Which isn't these days a lot of european directors are making movies in english because it is becoming an international language.|which isn't these days a lot of european directors are making movies in english because it is becoming an international language|which is these days a lot of European directors are making movies in English because it was becoming International angry|Which is, these days, a lot of European directors are making movies in english because it is becoming international life.
mix40_original_2|and performers and members of the audience and Scholars and academics to ask the question who may have wrote|And performers and members of the audience and scholars and academics to ask the question Who may have wrote the?|and performers and members of the audience and scholars and academics to ask the question who may have wrote|performers are members of the audience and Scholars and academics to ask the question who may have wrote|performers and members of the audience and scholars and academics to ask the question who may have wrote
